OBJECTID,pointid,percentage,Lon,Lat,RastX,RastY
19040,92751,4.773333549,-79.55635561,46.54214213,-843789.4535,348301.0705
19041,92752,32.24333572,-79.4311527,46.52064941,-834672.3525,344474.1705
19042,92753,7.526666641,-79.30607279,46.49898871,-825556.5865,340645.486
19043,92754,4.416666508,-79.18111666,46.47716034,-816442.1587,336815.0209
19044,92755,17.7733345,-79.05628508,46.45516459,-807329.0722,332982.7791
19045,92756,3.986666441,-78.93157884,46.43300178,-798217.3302,329148.7644
19046,92757,7.25,-78.8069987,46.4106722,-789106.9357,325312.9809
19047,92758,1.293333292,-78.68254543,46.38817617,-779997.8919,321475.4325
19048,92759,3.646666527,-78.55821978,46.36551398,-770890.2018,317636.1231
19049,92760,14.78000069,-78.4340225,46.34268597,-761783.8684,313795.0566
19050,92761,13.47666645,-78.30995435,46.31969242,-752678.8948,309952.237
19051,92762,3.646666527,-78.18601605,46.29653367,-743575.284,306107.6683
19052,92763,6.943333149,-78.06220836,46.27321003,-734473.039,302261.3545
19053,92764,2.486666679,-77.93853199,46.24972181,-725372.1627,298413.2995
19054,92765,2.900000095,-77.81498768,46.22606933,-716272.658,294563.5073
19055,92766,9.113332748,-77.69157615,46.20225292,-707174.528,290711.9819
19056,92767,6.536666393,-77.5682981,46.1782729,-698077.7755,286858.7273
19057,92768,1.023333311,-77.44515424,46.15412959,-688982.4034,283003.7476
19058,92769,12.25999928,-77.32214529,46.12982332,-679888.4146,279147.0467
19059,92770,3.5,-77.19927192,46.10535442,-670795.8119,275288.6287
19060,92771,5.150000095,-77.07653485,46.08072321,-661704.5981,271428.4976
19061,92772,1,-76.95393474,46.05593002,-652614.7761,267566.6575
19062,92773,7.559999943,-76.83147229,46.0309752,-643526.3486,263703.1124
19063,92774,0.74666667,-76.70914817,46.00585907,-634439.3185,259837.8663
19064,92775,5.940000057,-76.58696304,45.98058196,-625353.6884,255970.9233
19065,92776,5.03000021,-76.46491758,45.95514422,-616269.4611,252102.2875
19066,92777,8.566666603,-76.34301243,45.92954619,-607186.6394,248231.9629
19067,92778,6.853333473,-76.22124825,45.90378819,-598105.2258,244359.9536
19068,92779,1.446666598,-76.09962568,45.87787058,-589025.2231,240486.2638
19069,92781,5.539999962,-75.85680796,45.8255579,-570869.4608,232733.8586
19070,92782,1.953333378,-75.73561407,45.7991635,-561793.7066,228855.1515
19071,92783,4.989999771,-75.61456432,45.77261088,-552719.3736,224974.7802
19072,92784,3.023333311,-75.49365934,45.74590037,-543646.4646,221092.7488
19073,92785,14.13000011,-75.37289974,45.71903232,-534574.9821,217209.0614
19074,92786,6.99333334,-75.25228611,45.69200709,-525504.9285,213323.7222
19075,92787,3.296666861,-75.13181908,45.66482502,-516436.3065,209436.7352
19076,92788,20.2033329,-75.01149922,45.63748648,-507369.1185,205548.1046
19077,92791,0.386666656,-74.65142861,45.55453554,-480176.1832,193872.3925
19078,92795,16.92333221,-74.17343013,45.44176529,-443939.1601,178282.0173
19079,92804,3.903333426,-73.10686214,45.17908259,-362491.0938,143109.8708
19080,92805,0.706666648,-72.98912999,45.14913931,-353448.6463,139193.9348
