FID,ANNEE,SUPER_HA,Ia,NIVEAU,Longitude,Latitude,X,Y,RastX,RastY
29714,2012,89.23052709,3,Grave,-72.0036649,49.07221265,1643423.58,308392.4548,-254625.0403,569640.9785
29715,2012,1.243986627,1,Léger,-71.72674378,49.08051379,1661997.887,316450.4282,-234472.9231,569612.2436
29716,2012,0.104320619,3,Grave,-68.53153917,49.08119223,1877681.411,405445.3937,-2292.553307,564400.5689
29717,2012,66.96201153,1,Léger,-66.61781617,49.07575746,2004905.013,463308.6857,136814.2962,565598.0255
29718,2012,239.9002193,2,Modéré,-71.48801276,49.0719842,1678609.455,321834.5901,-217175.2834,567915.8434
29719,2012,0.837892425,1,Léger,-66.47391079,49.08074837,2014140.826,468355.3715,147256.2607,566435.7297
29720,2012,0.117744639,3,Grave,-68.53291773,49.08175883,1877563.864,405462.3163,-2392.730597,564463.3126
29721,2012,12.36514523,1,Léger,-71.82888082,49.07966569,1655063.944,313699.1315,-241893.8484,569858.4516
29722,2012,100.2939763,3,Grave,-72.60862721,49.07489556,1601913.919,293238.5431,-298528.271,572275.6489
29723,2012,0.016599368,1,Léger,-69.22747439,49.08222351,1831038.033,385261.1683,-52877.36818,564782.9589
29724,2012,8.841266779,1,Léger,-71.7662157,49.07833932,1659392.084,315194.0677,-237350.1617,569501.9834
29725,2012,0.053158067,1,Léger,-72.00011933,49.0821073,1643276.627,309513.0457,-254314.0459,570722.022
29726,2012,0.032805698,1,Léger,-71.74038413,49.08229487,1660996.816,316279.0329,-235454.508,569853.9192
29727,2012,0.038277365,2,Modéré,-68.76015338,49.08239769,1862344.73,398846.834,-18909.78133,564567.8297
29728,2012,0.030350504,1,Léger,-69.22769332,49.08245501,1831013.195,385278.5194,-52893.01963,564808.7365
29729,2012,187.9489026,3,Grave,-71.99426648,49.07092985,1644116.181,308501.8922,-253949.4928,569465.7587
29730,2012,11.45731661,1,Léger,-71.82043482,49.0761241,1655927.74,313551.0033,-241375.075,569158.2917
29731,2012,0.038450854,3,Grave,-71.99343017,49.08296466,1643699.796,309775.0361,-253823.777,570793.033
29732,2012,121.1773933,2,Modéré,-72.70270688,49.07538019,1595443.477,290924.516,-305353.0312,572726.1155
29733,2012,171.3293078,2,Modéré,-72.71412365,49.0751537,1594668.949,290614.5676,-306183.0317,572749.8733
29734,2012,172.7452981,1,Léger,-71.73052906,49.07405792,1661996.57,315681.275,-234779.9834,568910.9698
29735,2012,27.15648383,3,Grave,-72.6096158,49.07898097,1601689.542,293640.0175,-298574.061,572731.119
29736,2012,11.69197646,3,Grave,-71.88572341,49.07637715,1651314.36,311880.0358,-246038.4489,569688.7093
29737,2012,39.49608964,2,Modéré,-71.80550912,49.07861572,1656700.322,314198.4927,-240202.1395,569663.6564
29738,2012,3.104310192,1,Léger,-71.82331579,49.08254349,1655330.904,314142.8879,-241416.6368,570165.0638
29739,2012,0.021403362,1,Léger,-68.57031213,49.08361172,1874982.544,404547.6886,-5110.65983,564670.3098
29740,2012,0.120748151,2,Modéré,-71.62336999,49.08365524,1668919.946,319483.1938,-226950.8975,569626.2455
